,0
0,positive
1,negative
2,positive
3,negative
4,positive
5,negative
6,positive
7,negative
8,positive
9,negative
10,positive
11,negative
12,positive
13,negative
14,positive
15,negative
16,positive
17,negative
18,positive
19,negative
20,positive
21,negative
22,positive
23,negative
24,positive
25,negative
26,positive
27,negative
28,positive
29,negative
30,positive
31,negative
32,positive
33,negative
34,positive
35,negative
36,positive
37,negative
38,positive
39,negative
40,positive
41,negative
42,positive
43,negative
44,positive
45,negative
46,positive
47,negative
48,positive
49,negative
50,positive
51,negative
52,positive
53,negative
54,positive
55,negative
56,positive
57,negative
58,positive
59,negative
60,positive
61,negative
62,positive
63,negative
64,positive
65,negative
66,positive
67,negative
68,positive
69,negative
70,positive
71,negative
72,positive
73,negative
74,positive
75,negative
76,positive
77,negative
78,positive
79,negative
80,positive
81,negative
82,positive
83,negative
84,positive
85,negative
86,positive
87,negative
88,positive
89,negative
90,positive
91,negative
92,positive
93,negative
94,positive
95,negative
96,positive
97,negative
98,positive
99,negative
100,positive
101,negative
102,positive
103,negative
104,positive
105,negative
106,positive
107,negative
108,positive
109,negative
110,positive
111,negative
112,positive
113,negative
114,positive
115,negative
116,positive
117,negative
118,positive
119,negative
120,positive
121,negative
122,positive
123,negative
124,positive
125,negative
126,positive
127,negative
128,positive
129,negative
130,positive
131,negative
132,positive
133,negative
134,positive
135,negative
136,positive
137,negative
138,positive
139,negative
140,positive
141,negative
142,positive
143,negative
144,positive
145,negative
146,positive
147,negative
148,positive
149,negative
150,positive
151,negative
152,positive
153,negative
154,positive
155,negative
156,positive
157,negative
158,positive
159,negative
160,positive
161,negative
162,positive
163,negative
164,positive
165,negative
166,positive
167,negative
168,positive
169,negative
170,positive
171,negative
172,positive
173,negative
174,positive
175,negative
176,positive
177,negative
178,positive
179,negative
180,positive
181,negative
182,positive
183,negative
184,positive
185,negative
186,positive
187,negative
188,positive
189,negative
190,positive
191,negative
192,positive
193,negative
194,positive
195,negative
196,positive
197,negative
198,positive
199,negative
200,positive
201,negative
202,positive
203,negative
204,positive
205,negative
206,positive
207,negative
208,positive
209,negative
210,positive
211,negative
212,positive
213,negative
214,positive
215,negative
216,positive
217,negative
218,positive
219,negative
220,positive
221,negative
222,positive
223,negative
224,positive
225,negative
226,positive
227,negative
228,positive
229,negative
230,positive
231,negative
232,positive
233,negative
234,positive
235,negative
236,positive
237,negative
238,positive
239,negative
240,positive
241,negative
242,positive
243,negative
244,positive
245,negative
246,positive
247,negative
248,positive
249,negative
250,positive
251,negative
252,positive
253,negative
254,positive
255,negative
256,positive
257,negative
258,positive
259,negative
260,positive
261,negative
262,positive
263,negative
264,positive
265,negative
266,positive
267,negative
268,positive
269,negative
270,positive
271,negative
272,positive
273,negative
274,positive
275,negative
276,positive
277,negative
278,positive
279,negative
280,positive
281,negative
282,positive
283,negative
284,positive
285,negative
286,positive
287,negative
288,positive
289,negative
290,positive
291,negative
292,positive
293,negative
294,positive
295,negative
296,positive
297,negative
298,positive
299,negative
300,positive
301,negative
302,positive
303,negative
304,positive
305,negative
306,positive
307,negative
308,positive
309,negative
310,positive
311,negative
312,positive
313,negative
314,positive
315,negative
316,positive
317,negative
318,positive
319,negative
320,positive
321,negative
322,positive
323,negative
324,positive
325,negative
326,positive
327,negative
328,positive
329,negative
330,positive
331,negative
332,positive
333,negative
334,positive
335,negative
336,positive
337,negative
338,positive
339,negative
340,positive
341,negative
342,positive
343,negative
344,positive
345,negative
346,positive
347,negative
348,positive
349,negative
350,positive
351,negative
352,positive
353,negative
354,positive
355,negative
356,positive
357,negative
358,positive
359,negative
360,positive
361,negative
362,positive
363,negative
364,positive
365,negative
366,positive
367,negative
368,positive
369,negative
370,positive
371,negative
372,positive
373,negative
374,positive
375,negative
376,positive
377,negative
378,positive
379,negative
380,positive
381,negative
382,positive
383,negative
384,positive
385,negative
386,positive
387,negative
388,positive
389,negative
390,positive
391,negative
392,positive
393,negative
394,positive
395,negative
396,positive
397,negative
398,positive
399,negative
400,positive
401,negative
402,positive
403,negative
404,positive
405,negative
406,positive
407,negative
408,positive
409,negative
410,positive
411,negative
412,positive
413,negative
414,positive
415,negative
416,positive
417,negative
418,positive
419,negative
420,positive
421,negative
422,positive
423,negative
424,positive
425,negative
